DisplayName,IncludeGroups,ExcludeGroups
BLOCK - Access to Non-Configured Users,,Modern Workplace Users;MFA and SSPR Registration Users;Modern Workplace Force MFA Users;Service Accounts;Windows Updates Early Adopters;Windows Updates Late Adopters;Modern Workplace Pilot Users;Modern Workplace Admins
BLOCK - Browser Persistence,Modern Workplace Users,
BLOCK - Countries not Allowed,,
BLOCK - Explicitly Blocked Cloud Apps,,Modern Workplace Admins
BLOCK - Guest Access,,Modern Workplace Guest Users
BLOCK - Legacy Authentication,Modern Workplace Users,Service Accounts
BLOCK - Service Accounts,Modern Workplace Users,Service Accounts
BLOCK - Unmanaged Browser File Downloads,Modern Workplace Users,
BLOCK - Unsupported Device Platforms,,
GRANT - Browser Access,Modern Workplace Users,
GRANT - FORCE MFA on Users,Modern Workplace Force MFA Users,
GRANT - Mac Device Access,Modern Workplace Users,
GRANT - MFA Registration only from Corporate Net or Managed Device,Modern Workplace Users,
GRANT - Mobile Device Access,Modern Workplace Users,
GRANT - Privilege Roles Access Require MFA,Modern Workplace Admins,
GRANT - Windows Device Access,Modern Workplace Users,
SESSION - Set sign in Frequency,,